"","neighborhood","income_level","year","Fips","num_at_income_level","pct_at_income_level","median_income","rent_level","no_hhs_at_rent_level","pct_hhs_at_rent_level","median_rent","num_hhs_wo_internet","pct_hhs_wo_internet","rent_burden","borough"
"109","Upper East Side","$20,000 to $74,999",2019,108,2076,0.09821,"134264","$500 to $999",5204,0.07581,2288,5061,0.04678,0.243,"Manhattan"
"110","Upper East Side","$20,000 to $74,999",2019,108,2076,0.09821,"134264","Under $500",1856,0.02704,2288,5061,0.04678,0.243,"Manhattan"
"111","Upper East Side","$75,000 or more",2019,108,1972,0.02518,"134264","$1,000 to $1,499",6287,0.09158,2288,5061,0.04678,0.243,"Manhattan"
"112","Upper East Side","$75,000 or more",2019,108,1972,0.02518,"134264","$1,500 to $1,999",13063,0.19029,2288,5061,0.04678,0.243,"Manhattan"
"113","Upper East Side","$75,000 or more",2019,108,1972,0.02518,"134264","$2,000 or more",42239,0.61529,2288,5061,0.04678,0.243,"Manhattan"
"114","Upper East Side","$75,000 or more",2019,108,1972,0.02518,"134264","$500 to $999",5204,0.07581,2288,5061,0.04678,0.243,"Manhattan"
"115","Upper East Side","$75,000 or more",2019,108,1972,0.02518,"134264","Under $500",1856,0.02704,2288,5061,0.04678,0.243,"Manhattan"
"116","Upper East Side","Less than $20,000",2019,108,1013,0.11598,"134264","$1,000 to $1,499",6287,0.09158,2288,5061,0.04678,0.243,"Manhattan"
"117","Upper East Side","Less than $20,000",2019,108,1013,0.11598,"134264","$1,500 to $1,999",13063,0.19029,2288,5061,0.04678,0.243,"Manhattan"
"118","Upper East Side","Less than $20,000",2019,108,1013,0.11598,"134264","$2,000 or more",42239,0.61529,2288,5061,0.04678,0.243,"Manhattan"
"119","Upper East Side","Less than $20,000",2019,108,1013,0.11598,"134264","$500 to $999",5204,0.07581,2288,5061,0.04678,0.243,"Manhattan"
"120","Upper East Side","Less than $20,000",2019,108,1013,0.11598,"134264","Under $500",1856,0.02704,2288,5061,0.04678,0.243,"Manhattan"
"121","Manhattanville","$20,000 to $74,999",2019,109,2008,0.13942,"68370","$1,000 to $1,499",7974,0.20674,1460,6697,0.13703,0.283,"Manhattan"
"122","Manhattanville","$20,000 to $74,999",2019,109,2008,0.13942,"68370","$1,500 to $1,999",6349,0.16461,1460,6697,0.13703,0.283,"Manhattan"
"123","Manhattanville","$20,000 to $74,999",2019,109,2008,0.13942,"68370","$2,000 or more",9978,0.2587,1460,6697,0.13703,0.283,"Manhattan"
"124","Manhattanville","$20,000 to $74,999",2019,109,2008,0.13942,"68370","$500 to $999",8910,0.23101,1460,6697,0.13703,0.283,"Manhattan"
"125","Manhattanville","$20,000 to $74,999",2019,109,2008,0.13942,"68370","Under $500",5359,0.13894,1460,6697,0.13703,0.283,"Manhattan"
"126","Manhattanville","$75,000 or more",2019,109,1047,0.0447,"68370","$1,000 to $1,499",7974,0.20674,1460,6697,0.13703,0.283,"Manhattan"
"127","Manhattanville","$75,000 or more",2019,109,1047,0.0447,"68370","$1,500 to $1,999",6349,0.16461,1460,6697,0.13703,0.283,"Manhattan"
"128","Manhattanville","$75,000 or more",2019,109,1047,0.0447,"68370","$2,000 or more",9978,0.2587,1460,6697,0.13703,0.283,"Manhattan"
"129","Manhattanville","$75,000 or more",2019,109,1047,0.0447,"68370","$500 to $999",8910,0.23101,1460,6697,0.13703,0.283,"Manhattan"
"130","Manhattanville","$75,000 or more",2019,109,1047,0.0447,"68370","Under $500",5359,0.13894,1460,6697,0.13703,0.283,"Manhattan"
"131","Manhattanville","Less than $20,000",2019,109,3642,0.32968,"68370","$1,000 to $1,499",7974,0.20674,1460,6697,0.13703,0.283,"Manhattan"
"132","Manhattanville","Less than $20,000",2019,109,3642,0.32968,"68370","$1,500 to $1,999",6349,0.16461,1460,6697,0.13703,0.283,"Manhattan"
"133","Manhattanville","Less than $20,000",2019,109,3642,0.32968,"68370","$2,000 or more",9978,0.2587,1460,6697,0.13703,0.283,"Manhattan"
"134","Manhattanville","Less than $20,000",2019,109,3642,0.32968,"68370","$500 to $999",8910,0.23101,1460,6697,0.13703,0.283,"Manhattan"
"135","Manhattanville","Less than $20,000",2019,109,3642,0.32968,"68370","Under $500",5359,0.13894,1460,6697,0.13703,0.283,"Manhattan"
"136","Central Harlem","$20,000 to $74,999",2019,110,2119,0.095,"54932","$1,000 to $1,499",10285,0.21363,1112,9421,0.16625,0.286,"Manhattan"
"137","Central Harlem","$20,000 to $74,999",2019,110,2119,0.095,"54932","$1,500 to $1,999",6602,0.13713,1112,9421,0.16625,0.286,"Manhattan"
"138","Central Harlem","$20,000 to $74,999",2019,110,2119,0.095,"54932","$2,000 or more",8083,0.16789,1112,9421,0.16625,0.286,"Manhattan"
"139","Central Harlem","$20,000 to $74,999",2019,110,2119,0.095,"54932","$500 to $999",13954,0.28983,1112,9421,0.16625,0.286,"Manhattan"
"140","Central Harlem","$20,000 to $74,999",2019,110,2119,0.095,"54932","Under $500",9221,0.19153,1112,9421,0.16625,0.286,"Manhattan"
"141","Central Harlem","$75,000 or more",2019,110,1310,0.06404,"54932","$1,000 to $1,499",10285,0.21363,1112,9421,0.16625,0.286,"Manhattan"
"142","Central Harlem","$75,000 or more",2019,110,1310,0.06404,"54932","$1,500 to $1,999",6602,0.13713,1112,9421,0.16625,0.286,"Manhattan"
"143","Central Harlem","$75,000 or more",2019,110,1310,0.06404,"54932","$2,000 or more",8083,0.16789,1112,9421,0.16625,0.286,"Manhattan"
"144","Central Harlem","$75,000 or more",2019,110,1310,0.06404,"54932","$500 to $999",13954,0.28983,1112,9421,0.16625,0.286,"Manhattan"
"145","Central Harlem","$75,000 or more",2019,110,1310,0.06404,"54932","Under $500",9221,0.19153,1112,9421,0.16625,0.286,"Manhattan"
"146","Central Harlem","Less than $20,000",2019,110,5992,0.43086,"54932","$1,000 to $1,499",10285,0.21363,1112,9421,0.16625,0.286,"Manhattan"
"147","Central Harlem","Less than $20,000",2019,110,5992,0.43086,"54932","$1,500 to $1,999",6602,0.13713,1112,9421,0.16625,0.286,"Manhattan"
"148","Central Harlem","Less than $20,000",2019,110,5992,0.43086,"54932","$2,000 or more",8083,0.16789,1112,9421,0.16625,0.286,"Manhattan"
"149","Central Harlem","Less than $20,000",2019,110,5992,0.43086,"54932","$500 to $999",13954,0.28983,1112,9421,0.16625,0.286,"Manhattan"
"150","Central Harlem","Less than $20,000",2019,110,5992,0.43086,"54932","Under $500",9221,0.19153,1112,9421,0.16625,0.286,"Manhattan"
"151","East Harlem","$20,000 to $74,999",2019,111,3215,0.19596,"32408","$1,000 to $1,499",8405,0.18409,871,12947,0.25847,0.316,"Manhattan"
"152","East Harlem","$20,000 to $74,999",2019,111,3215,0.19596,"32408","$1,500 to $1,999",4919,0.10774,871,12947,0.25847,0.316,"Manhattan"
"153","East Harlem","$20,000 to $74,999",2019,111,3215,0.19596,"32408","$2,000 or more",6265,0.13722,871,12947,0.25847,0.316,"Manhattan"
"154","East Harlem","$20,000 to $74,999",2019,111,3215,0.19596,"32408","$500 to $999",11422,0.25017,871,12947,0.25847,0.316,"Manhattan"
"155","East Harlem","$20,000 to $74,999",2019,111,3215,0.19596,"32408","Under $500",14646,0.32078,871,12947,0.25847,0.316,"Manhattan"
"156","East Harlem","$75,000 or more",2019,111,893,0.06529,"32408","$1,000 to $1,499",8405,0.18409,871,12947,0.25847,0.316,"Manhattan"
"157","East Harlem","$75,000 or more",2019,111,893,0.06529,"32408","$1,500 to $1,999",4919,0.10774,871,12947,0.25847,0.316,"Manhattan"
"158","East Harlem","$75,000 or more",2019,111,893,0.06529,"32408","$2,000 or more",6265,0.13722,871,12947,0.25847,0.316,"Manhattan"
"159","East Harlem","$75,000 or more",2019,111,893,0.06529,"32408","$500 to $999",11422,0.25017,871,12947,0.25847,0.316,"Manhattan"
"160","East Harlem","$75,000 or more",2019,111,893,0.06529,"32408","Under $500",14646,0.32078,871,12947,0.25847,0.316,"Manhattan"
"161","East Harlem","Less than $20,000",2019,111,8839,0.4418,"32408","$1,000 to $1,499",8405,0.18409,871,12947,0.25847,0.316,"Manhattan"
"162","East Harlem","Less than $20,000",2019,111,8839,0.4418,"32408","$1,500 to $1,999",4919,0.10774,871,12947,0.25847,0.316,"Manhattan"
"163","East Harlem","Less than $20,000",2019,111,8839,0.4418,"32408","$2,000 or more",6265,0.13722,871,12947,0.25847,0.316,"Manhattan"
"164","East Harlem","Less than $20,000",2019,111,8839,0.4418,"32408","$500 to $999",11422,0.25017,871,12947,0.25847,0.316,"Manhattan"
"165","East Harlem","Less than $20,000",2019,111,8839,0.4418,"32408","Under $500",14646,0.32078,871,12947,0.25847,0.316,"Manhattan"
"166","Washington Heights","$20,000 to $74,999",2019,112,3819,0.12479,"53507","$1,000 to $1,499",20655,0.30636,1216,12698,0.16623,0.301,"Manhattan"
"167","Washington Heights","$20,000 to $74,999",2019,112,3819,0.12479,"53507","$1,500 to $1,999",14534,0.21557,1216,12698,0.16623,0.301,"Manhattan"
"168","Washington Heights","$20,000 to $74,999",2019,112,3819,0.12479,"53507","$2,000 or more",8387,0.1244,1216,12698,0.16623,0.301,"Manhattan"
